Question,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Option 10,Option 11
1. I tend to manipulate others to get my way.     ,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree,,,,,,
2. I have used deceit or lied to get my way.      ,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree,,,,,,
3. I have used flattery to get my way.      ,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree,,,,,,
4. I tend to exploit others towards my own end.     ,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree,,,,,,
5. I tend to lack remorse.        ,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree,,,,,,
6. I tend to not be unconcerned with the morality of my actions.   ,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree,,,,,,
7. I tend to be callous or insensitive.       ,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree,,,,,,
8. I tend to be cynical.         ,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree,,,,,,
9. I tend to want others to admire me.      ,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree,,,,,,
10. I tend to want others to pay attention to me.     ,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree,,,,,,
11. I tend to seek prestige or status.       ,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree,,,,,,
12. I tend to expect special favors from others.  ,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree,,,,,,
